method,episode,seed,backend,success,steps,elapsed_seconds,recovery_attempts,recovery_successes,detector_triggers,recovery_steps,failure_probability_max,recovery_definition,terminated,truncated,failure_reason,noise_level,noise_percent,action_noise_std,observation_noise_std,object_impulse_std_m,condition_index,Profile
REIM (ACT + Detector + Recovery),96,6000138,metaworld,True,58,0.28098086200043326,0,0,0,0,0.13058090209960938,task_success_while_recovery_active_per_intervention,True,False,,0.2,20.0,0.08000000000000002,0.005000000000000001,0.020000000000000004,0,full
REIM (ACT + Detector + Recovery),97,6000139,metaworld,True,53,0.2910481010003423,0,0,0,0,0.15946316719055176,task_success_while_recovery_active_per_intervention,True,False,,0.2,20.0,0.08000000000000002,0.005000000000000001,0.020000000000000004,0,full
REIM (ACT + Detector + Recovery),98,6000140,metaworld,False,200,2.0468881690012495,1,0,1,150,0.9168490767478943,task_success_while_recovery_active_per_intervention,False,True,timeout,0.2,20.0,0.08000000000000002,0.005000000000000001,0.020000000000000004,0,full
REIM (ACT + Detector + Recovery),99,6000141,metaworld,True,44,0.3866710439997405,1,1,1,28,0.3389369547367096,task_success_while_recovery_active_per_intervention,True,False,,0.2,20.0,0.08000000000000002,0.005000000000000001,0.020000000000000004,0,full
REIM (ACT + Detector + Recovery),100,6000142,metaworld,True,55,0.4838165579985798,0,0,0,0,0.19636236131191254,task_success_while_recovery_active_per_intervention,True,False,,0.2,20.0,0.08000000000000002,0.005000000000000001,0.020000000000000004,0,full
REIM (ACT + Detector + Recovery),101,6000143,metaworld,True,53,0.4777021589998185,0,0,0,0,0.18538206815719604,task_success_while_recovery_active_per_intervention,True,False,,0.2,20.0,0.08000000000000002,0.005000000000000001,0.020000000000000004,0,full
REIM (ACT + Detector + Recovery),102,6000144,metaworld,True,56,0.584758311000769,1,1,1,45,0.2496977299451828,task_success_while_recovery_active_per_intervention,True,False,,0.2,20.0,0.08000000000000002,0.005000000000000001,0.020000000000000004,0,full
REIM (ACT + Detector + Recovery),103,6000145,metaworld,False,200,1.876880212999822,1,0,1,150,0.9988460540771484,task_success_while_recovery_active_per_intervention,False,True,timeout,0.2,20.0,0.08000000000000002,0.005000000000000001,0.020000000000000004,0,full
REIM (ACT + Detector + Recovery),104,6000146,metaworld,True,50,0.33821557500050403,1,1,1,33,0.22676923871040344,task_success_while_recovery_active_per_intervention,True,False,,0.2,20.0,0.08000000000000002,0.005000000000000001,0.020000000000000004,0,full
REIM (ACT + Detector + Recovery),105,6000147,metaworld,True,55,0.39406101500026125,1,1,1,38,0.2794463336467743,task_success_while_recovery_active_per_intervention,True,False,,0.2,20.0,0.08000000000000002,0.005000000000000001,0.020000000000000004,0,full
REIM (ACT + Detector + Recovery),106,6000148,metaworld,True,53,0.345662044999699,1,1,1,37,0.23610229790210724,task_success_while_recovery_active_per_intervention,True,False,,0.2,20.0,0.08000000000000002,0.005000000000000001,0.020000000000000004,0,full
REIM (ACT + Detector + Recovery),107,6000149,metaworld,True,51,0.5238059949988383,1,1,1,40,0.22534984350204468,task_success_while_recovery_active_per_intervention,True,False,,0.2,20.0,0.08000000000000002,0.005000000000000001,0.020000000000000004,0,full
REIM (ACT + Detector + Recovery),108,6000150,metaworld,True,48,0.20765734000087832,0,0,0,0,0.1897231638431549,task_success_while_recovery_active_per_intervention,True,False,,0.2,20.0,0.08000000000000002,0.005000000000000001,0.020000000000000004,0,full
REIM (ACT + Detector + Recovery),109,6000151,metaworld,False,200,1.3157888279984036,1,0,1,150,0.982187807559967,task_success_while_recovery_active_per_intervention,False,True,object_dropped,0.2,20.0,0.08000000000000002,0.005000000000000001,0.020000000000000004,0,full
REIM (ACT + Detector + Recovery),110,6000152,metaworld,True,52,0.4952374910008075,1,1,1,28,0.20797573029994965,task_success_while_recovery_active_per_intervention,True,False,,0.2,20.0,0.08000000000000002,0.005000000000000001,0.020000000000000004,0,full
REIM (ACT + Detector + Recovery),111,6000153,metaworld,True,49,0.46958727699893643,1,1,1,36,0.27520784735679626,task_success_while_recovery_active_per_intervention,True,False,,0.2,20.0,0.08000000000000002,0.005000000000000001,0.020000000000000004,0,full
