method,episode,seed,backend,success,steps,elapsed_seconds,recovery_attempts,recovery_successes,detector_triggers,recovery_steps,failure_probability_max,recovery_definition,terminated,truncated,failure_reason,noise_level,noise_percent,action_noise_std,observation_noise_std,object_impulse_std_m,condition_index,Profile
REIM (ACT + Detector + Recovery),173,6000215,metaworld,True,52,0.2066686590005702,0,0,0,0,0.10983125120401382,task_success_while_recovery_active_per_intervention,True,False,,0.0,0.0,0.0,0.0,0.0,0,full
REIM (ACT + Detector + Recovery),174,6000216,metaworld,True,52,0.21558677299981355,0,0,0,0,0.1282302290201187,task_success_while_recovery_active_per_intervention,True,False,,0.0,0.0,0.0,0.0,0.0,0,full
REIM (ACT + Detector + Recovery),175,6000217,metaworld,True,52,0.2751225459996931,0,0,0,0,0.1781063675880432,task_success_while_recovery_active_per_intervention,True,False,,0.0,0.0,0.0,0.0,0.0,0,full
REIM (ACT + Detector + Recovery),176,6000218,metaworld,True,51,0.2860108799995942,0,0,0,0,0.18026746809482574,task_success_while_recovery_active_per_intervention,True,False,,0.0,0.0,0.0,0.0,0.0,0,full
REIM (ACT + Detector + Recovery),177,6000219,metaworld,True,52,0.5421183159996872,0,0,0,0,0.10983125120401382,task_success_while_recovery_active_per_intervention,True,False,,0.0,0.0,0.0,0.0,0.0,0,full
REIM (ACT + Detector + Recovery),178,6000220,metaworld,True,58,0.429255731000012,0,0,0,0,0.14487150311470032,task_success_while_recovery_active_per_intervention,True,False,,0.0,0.0,0.0,0.0,0.0,0,full
REIM (ACT + Detector + Recovery),179,6000221,metaworld,True,56,0.4093398309996701,1,1,1,35,0.2515467703342438,task_success_while_recovery_active_per_intervention,True,False,,0.0,0.0,0.0,0.0,0.0,0,full
REIM (ACT + Detector + Recovery),180,6000222,metaworld,True,52,0.3242427269997279,0,0,0,0,0.1282302290201187,task_success_while_recovery_active_per_intervention,True,False,,0.0,0.0,0.0,0.0,0.0,0,full
REIM (ACT + Detector + Recovery),181,6000223,metaworld,True,52,0.2263447340010316,0,0,0,0,0.1781063675880432,task_success_while_recovery_active_per_intervention,True,False,,0.0,0.0,0.0,0.0,0.0,0,full
REIM (ACT + Detector + Recovery),182,6000224,metaworld,True,57,0.2633834689986543,0,0,0,0,0.16305683553218842,task_success_while_recovery_active_per_intervention,True,False,,0.0,0.0,0.0,0.0,0.0,0,full
REIM (ACT + Detector + Recovery),183,6000225,metaworld,True,47,0.3046727730015846,0,0,0,0,0.19181783497333527,task_success_while_recovery_active_per_intervention,True,False,,0.0,0.0,0.0,0.0,0.0,0,full
REIM (ACT + Detector + Recovery),184,6000226,metaworld,True,50,0.5133140779998939,1,1,1,40,0.2802259922027588,task_success_while_recovery_active_per_intervention,True,False,,0.0,0.0,0.0,0.0,0.0,0,full
REIM (ACT + Detector + Recovery),185,6000227,metaworld,True,59,0.4319977499999368,0,0,0,0,0.1695513129234314,task_success_while_recovery_active_per_intervention,True,False,,0.0,0.0,0.0,0.0,0.0,0,full
REIM (ACT + Detector + Recovery),186,6000228,metaworld,True,57,0.4306817599990609,0,0,0,0,0.16305683553218842,task_success_while_recovery_active_per_intervention,True,False,,0.0,0.0,0.0,0.0,0.0,0,full
REIM (ACT + Detector + Recovery),187,6000229,metaworld,True,50,0.7242499050007609,0,0,0,0,0.13729049265384674,task_success_while_recovery_active_per_intervention,True,False,,0.0,0.0,0.0,0.0,0.0,0,full
REIM (ACT + Detector + Recovery),188,6000230,metaworld,True,54,0.5816609979992791,0,0,0,0,0.09814134240150452,task_success_while_recovery_active_per_intervention,True,False,,0.0,0.0,0.0,0.0,0.0,0,full
REIM (ACT + Detector + Recovery),189,6000231,metaworld,True,56,0.27017833900026744,0,0,0,0,0.17236743867397308,task_success_while_recovery_active_per_intervention,True,False,,0.0,0.0,0.0,0.0,0.0,0,full
REIM (ACT + Detector + Recovery),190,6000232,metaworld,True,56,0.26001870399886684,1,1,1,35,0.2515467703342438,task_success_while_recovery_active_per_intervention,True,False,,0.0,0.0,0.0,0.0,0.0,0,full
REIM (ACT + Detector + Recovery),191,6000233,metaworld,True,53,0.25406161199862254,0,0,0,0,0.15620024502277374,task_success_while_recovery_active_per_intervention,True,False,,0.0,0.0,0.0,0.0,0.0,0,full
REIM (ACT + Detector + Recovery),192,6000234,metaworld,True,53,0.536250346000088,0,0,0,0,0.127713143825531,task_success_while_recovery_active_per_intervention,True,False,,0.0,0.0,0.0,0.0,0.0,0,full
REIM (ACT + Detector + Recovery),193,6000235,metaworld,True,52,0.6712598240010266,1,1,1,34,0.3113390803337097,task_success_while_recovery_active_per_intervention,True,False,,0.0,0.0,0.0,0.0,0.0,0,full
REIM (ACT + Detector + Recovery),194,6000236,metaworld,True,57,0.7468731830012985,1,1,1,31,0.2092832624912262,task_success_while_recovery_active_per_intervention,True,False,,0.0,0.0,0.0,0.0,0.0,0,full
REIM (ACT + Detector + Recovery),195,6000237,metaworld,True,52,0.638140631999704,1,1,1,43,0.3113192617893219,task_success_while_recovery_active_per_intervention,True,False,,0.0,0.0,0.0,0.0,0.0,0,full
REIM (ACT + Detector + Recovery),196,6000238,metaworld,True,50,0.29564482099885936,0,0,0,0,0.14365904033184052,task_success_while_recovery_active_per_intervention,True,False,,0.0,0.0,0.0,0.0,0.0,0,full
REIM (ACT + Detector + Recovery),197,6000239,metaworld,True,56,0.3601411409999855,0,0,0,0,0.11686310917139053,task_success_while_recovery_active_per_intervention,True,False,,0.0,0.0,0.0,0.0,0.0,0,full
REIM (ACT + Detector + Recovery),198,6000240,metaworld,True,53,0.35391421200074547,0,0,0,0,0.15620024502277374,task_success_while_recovery_active_per_intervention,True,False,,0.0,0.0,0.0,0.0,0.0,0,full
REIM (ACT + Detector + Recovery),199,6000241,metaworld,True,58,0.37840201200015144,0,0,0,0,0.14487150311470032,task_success_while_recovery_active_per_intervention,True,False,,0.0,0.0,0.0,0.0,0.0,0,full
