method,episode,seed,backend,success,steps,elapsed_seconds,recovery_attempts,recovery_successes,detector_triggers,recovery_steps,failure_probability_max,recovery_definition,terminated,truncated,failure_reason,episode_specification_sha256,episode_bank_sha256,metaworld_task_sha256,retry_specification_sha256s,retry_task_sha256s,noise_level,noise_percent,action_noise_std,observation_noise_std,object_impulse_std_m,condition_index,Profile,Benchmark Eligible
ACT,21,8000063,metaworld,True,55,0.3249794780022057,0,0,0,0,0.0,,True,False,,840ba6a6d7d444b9fbaf705d160c12f4e253721c88bd38364bcfe91dc870cfc5,57ac5e7259f9e36fe4d487d0f69b7b13ade0c0aa4abbfe896ce2ee654b85d6b9,0cda21f8ffacf0a1e40e7b0e858a8e2ddc276972106d4bced99d4404b4a13fd8,,,0.0,0.0,0.0,0.0,0.0,0,full,True
ACT,22,8000064,metaworld,True,56,0.297598895002011,0,0,0,0,0.0,,True,False,,379055a7228a15f8a93179ef2038000b4acf0a77a310e4b648e17a7ae6b6bdc5,57ac5e7259f9e36fe4d487d0f69b7b13ade0c0aa4abbfe896ce2ee654b85d6b9,6cb8d983459a8e57d4ae53a86da2394015cabba2d7c306dcaf7b14af979ca230,,,0.0,0.0,0.0,0.0,0.0,0,full,True
ACT,23,8000065,metaworld,True,59,0.3228104439986055,0,0,0,0,0.0,,True,False,,f475513cf997005bb7513b99c105ba7744507f84ea636ff1823a85b3be1d6885,57ac5e7259f9e36fe4d487d0f69b7b13ade0c0aa4abbfe896ce2ee654b85d6b9,39001749c902e2ab9d015efb8c7644faffff99810b709d3203dc359d5eacdcbd,,,0.0,0.0,0.0,0.0,0.0,0,full,True
ACT,24,8000066,metaworld,True,51,0.2701540960006241,0,0,0,0,0.0,,True,False,,6aa5f6ecb4d09bc833844f08db94c355b1c8db825bfccc7c515aaf10b3688197,57ac5e7259f9e36fe4d487d0f69b7b13ade0c0aa4abbfe896ce2ee654b85d6b9,56b7f182edcfeefa9301e1edd53d7f36e4418de7e6df1b54b0f0c298cde1b3cd,,,0.0,0.0,0.0,0.0,0.0,0,full,True
ACT,25,8000067,metaworld,True,59,0.3123976559982111,0,0,0,0,0.0,,True,False,,b642b6975217395a436123a8c5a0f7dc833fb3662fa02e123bb12f0dc384683f,57ac5e7259f9e36fe4d487d0f69b7b13ade0c0aa4abbfe896ce2ee654b85d6b9,e216352c7f1c7392270c7c501bb599f2a46f420613a124fda0729ab88160cdf2,,,0.0,0.0,0.0,0.0,0.0,0,full,True
ACT,26,8000068,metaworld,True,52,0.2712552640005015,0,0,0,0,0.0,,True,False,,85a676d1793ae368fdc43f3e48e1391f56ea0d8ca2c99e134d6a05f797b08244,57ac5e7259f9e36fe4d487d0f69b7b13ade0c0aa4abbfe896ce2ee654b85d6b9,2eb279a724955c1a9d173681940490ec9cc8ed4fdc15a95533884a23d4ccdb4e,,,0.0,0.0,0.0,0.0,0.0,0,full,True
ACT,27,8000069,metaworld,True,50,0.2626797920020181,0,0,0,0,0.0,,True,False,,8f7f2c64b8e12b8085748d5d8172adb1b96696300ae95173459c9cd6873e1663,57ac5e7259f9e36fe4d487d0f69b7b13ade0c0aa4abbfe896ce2ee654b85d6b9,15a9adece7ebea14bdf37f5376e274c6dce4711281025cf35060933ba9ab8ad3,,,0.0,0.0,0.0,0.0,0.0,0,full,True
ACT,28,8000070,metaworld,True,47,0.2459974070006865,0,0,0,0,0.0,,True,False,,1ec71416ee1aeb44bbe82b71951f48204617561dfbaddc04567e9c1960789407,57ac5e7259f9e36fe4d487d0f69b7b13ade0c0aa4abbfe896ce2ee654b85d6b9,5d73f28d4d24cdbcb36a5e5cd61ec1a82f7287ce56d88da8cea912ed757b164c,,,0.0,0.0,0.0,0.0,0.0,0,full,True
ACT,29,8000071,metaworld,True,51,0.26404402700063656,0,0,0,0,0.0,,True,False,,a607b98752911bb5064c970ae94e9d7753bb0a3c99da2ea5a9ced9694ec59e2f,57ac5e7259f9e36fe4d487d0f69b7b13ade0c0aa4abbfe896ce2ee654b85d6b9,5e1df472084de78052388a34f03cad3de438ca9b5dc801b5759dd57c66a7482a,,,0.0,0.0,0.0,0.0,0.0,0,full,True
ACT,30,8000072,metaworld,True,52,0.26878653799940366,0,0,0,0,0.0,,True,False,,beacc66fd2e8d00c306b4afaffbfda90c0ce8c198436de717bb7dee65ee7b595,57ac5e7259f9e36fe4d487d0f69b7b13ade0c0aa4abbfe896ce2ee654b85d6b9,aba21ef1c98d0573e36116c9757115227fd3793cba96aea7eda95c2547314ca3,,,0.0,0.0,0.0,0.0,0.0,0,full,True
