method,episode,seed,backend,success,steps,elapsed_seconds,recovery_attempts,recovery_successes,detector_triggers,recovery_steps,failure_probability_max,recovery_definition,terminated,truncated,failure_reason,episode_specification_sha256,episode_bank_sha256,metaworld_task_sha256,retry_specification_sha256s,retry_task_sha256s,Profile,noise_level,Benchmark Eligible
ACT + Random Reset,291,8000333,metaworld,True,76,0.3531794689988601,1,1,1,0,0.85,post_reset_task_success_per_reset,True,False,,e8ee7bcfe9b736ba17e75fba22e3d89d0b586bd561ecd21223c2f9c81440e0b5,8c503c07dc6dcdd904e948f14d270410c2fbd4d9796f8d9e08451dc34c7d4399,4e97203f8ce1a96cef19545d4c4c300d0de39e4f94bd1941cef7ebc3dd48be02,83f160017a5472d1b519135641b943140b53bdaa95fca6ce8a52be5fdcb8554e,524e161a612d94c222d06154bcd0129d0851b8fad51ae883abbef6e86d43cbb0,full,0.2,True
ACT + Random Reset,292,8000334,metaworld,True,78,0.36862805200144066,1,1,1,0,0.9,post_reset_task_success_per_reset,True,False,,49664183a1a149c78a44b0faa2f04a7298178660bb978fddc2a311ffb3ac7571,8c503c07dc6dcdd904e948f14d270410c2fbd4d9796f8d9e08451dc34c7d4399,0f719f94ef165c0b816b8b10c3f4f5fcf802c9f5a25141035590310315749280,f8e7cf331530fa8ac69293c39ad9c0b0077dd4aa732db52489eb2d2f72d67cf7,742509487aeb71d366f1ddafa1cb12db2f7cfefe17c4ca89c98cffb67c1c8619,full,0.2,True
ACT + Random Reset,293,8000335,metaworld,True,76,0.3474048159987433,1,1,1,0,0.85,post_reset_task_success_per_reset,True,False,,fea03bc21d9e5f1da535c4d8fd5e5d341e1ec69a36912061d0509bacdeb97a14,8c503c07dc6dcdd904e948f14d270410c2fbd4d9796f8d9e08451dc34c7d4399,588df85fb38ef87f822932ad2f702be807974873e4a07ea43084bbdeeaac6604,4fe031e72019deb62df8fd4e3f2782789f053dfd11e97888bb7141ea371dcaab,0f719f94ef165c0b816b8b10c3f4f5fcf802c9f5a25141035590310315749280,full,0.2,True
ACT + Random Reset,294,8000336,metaworld,False,200,0.8838564039979246,1,0,1,0,0.9,post_reset_task_success_per_reset,False,False,,36cfcc75d76b223bba3b5c881c81c9b15188bd636d19419bcbaecefcb26f26f0,8c503c07dc6dcdd904e948f14d270410c2fbd4d9796f8d9e08451dc34c7d4399,aba21ef1c98d0573e36116c9757115227fd3793cba96aea7eda95c2547314ca3,89a0e3048edcf9d045537e1221fd4d1ace658ea29f7343e9c4e0b10fbbbc0ceb,06d355d7aff3b944ab4199c02a94c63d062e5c414c0b195f7b232b607e0ab1ed,full,0.2,True
ACT + Random Reset,295,8000337,metaworld,True,68,0.30727985400153557,1,1,1,0,0.85,post_reset_task_success_per_reset,True,False,,1230f1bcaf7bb1a48098ae6b6a051f74ba984932162fdf5ee7ac327efbbba87b,8c503c07dc6dcdd904e948f14d270410c2fbd4d9796f8d9e08451dc34c7d4399,c40fedd273cade53989af8adc3ca66d02f2d92ca4d97b2f6391a0dd0ab6dbca3,64b15a34278d652df02df3d72d7ff328e7bf245e17e886900ad2f880ba4bafa1,08a97a6dfa17f78b5cc5b1351d60038e4a40a68fc93722672482714333b1d9b5,full,0.2,True
ACT + Random Reset,296,8000338,metaworld,True,57,0.25078033300087554,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,6e61d16f64c1beb75ce33e3e969e7be4c908bf5f3d0437340312ad803327b45c,8c503c07dc6dcdd904e948f14d270410c2fbd4d9796f8d9e08451dc34c7d4399,b8e45a2f8f553d53c6eef0305347f910b9999bcae6df6ccaf0eaee6ac864e670,,,full,0.2,True
ACT + Random Reset,297,8000339,metaworld,True,85,0.3927695970014611,1,1,1,0,0.9,post_reset_task_success_per_reset,True,False,,ee130e5c9db65a3cf606ee1ecd7af9a9ad704f125b3772a02c67ed705cff2abe,8c503c07dc6dcdd904e948f14d270410c2fbd4d9796f8d9e08451dc34c7d4399,942fb6a87dc1e3eb7bf7bb111c97e7096138256b4a9a6b4c62a012fabe8bec38,e571d6e36ef57f08bfb9959a6dfc3437b2a6e02e5098ed133e3a4bf2253146aa,a8cfe6e2276fbd15230c5555255b87d17333bdd29f84f687df7405d0311fae7f,full,0.2,True
ACT + Random Reset,298,8000340,metaworld,True,57,0.24986184500085074,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,e6c1c547d287c474f8784ed8d6aa103e00b0624328e96369eb97986631f45186,8c503c07dc6dcdd904e948f14d270410c2fbd4d9796f8d9e08451dc34c7d4399,942fb6a87dc1e3eb7bf7bb111c97e7096138256b4a9a6b4c62a012fabe8bec38,,,full,0.2,True
ACT + Random Reset,299,8000341,metaworld,True,71,0.33729141599906143,1,1,1,0,0.85,post_reset_task_success_per_reset,True,False,,31a5d66e31c0b59bb963871cf160d60478478fe357cbd90ae723cccb313ea2bb,8c503c07dc6dcdd904e948f14d270410c2fbd4d9796f8d9e08451dc34c7d4399,524e161a612d94c222d06154bcd0129d0851b8fad51ae883abbef6e86d43cbb0,7d3b41b75a2ec8c9f79cb8831ef7a095ddd9df8486b47003a6f63fcb96ae94c0,bb2c6b1aed959fa3ddddb1c215ce67cbb5b0ec080eb65fb58e06b7776849a096,full,0.2,True
ACT + Random Reset,300,8000342,metaworld,True,73,0.36947613599841134,1,1,1,0,0.85,post_reset_task_success_per_reset,True,False,,22d83e10c4b769931c864ed27e30c3e8fac186beea8624414de68a07b96e3ca3,8c503c07dc6dcdd904e948f14d270410c2fbd4d9796f8d9e08451dc34c7d4399,f82ceac6f8787ac22c378edc1f141cedcc86bf9309b43f1aff6633ae0a963abb,820f469011c124fcbc22094b381a47a03412c694497b1b52f0f214b5f922e51e,71488b32995fa40c6ec3f77f6bcd912b1929aef29d90a66307ad46cd584acf29,full,0.2,True
ACT + Random Reset,301,8000343,metaworld,True,58,0.26396538100016187,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,2c8bc1fe75ac16136f7c32b18c54e1412c8f3192eb13313bc038c857a7542611,8c503c07dc6dcdd904e948f14d270410c2fbd4d9796f8d9e08451dc34c7d4399,0cda21f8ffacf0a1e40e7b0e858a8e2ddc276972106d4bced99d4404b4a13fd8,,,full,0.2,True
ACT + Random Reset,302,8000344,metaworld,True,55,0.26691773499987903,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,fd3920622d30e5e6d0619b89e04b9d0429bd4cd1b5d73e8ed957aaabdc46cffe,8c503c07dc6dcdd904e948f14d270410c2fbd4d9796f8d9e08451dc34c7d4399,588df85fb38ef87f822932ad2f702be807974873e4a07ea43084bbdeeaac6604,,,full,0.2,True
ACT + Random Reset,303,8000345,metaworld,True,47,0.21880845999839948,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,a61bd0b4afbbc6a5f5cfb473afc37b98d74c76d00f36156e1ed685d42bbd82f9,8c503c07dc6dcdd904e948f14d270410c2fbd4d9796f8d9e08451dc34c7d4399,20cf3cfee33051ea4ca25b64648f05450b0068ae0136ae52c3108d28b02f3691,,,full,0.2,True
