method,episode,seed,backend,success,steps,elapsed_seconds,recovery_attempts,recovery_successes,detector_triggers,recovery_steps,failure_probability_max,recovery_definition,terminated,truncated,failure_reason,Profile,Noise Level,Benchmark Eligible
REIM (ACT + Detector + Recovery),69,7300111,metaworld,True,51,0.1453811079991283,1,1,1,34,0.334309846162796,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),70,7300112,metaworld,True,57,0.2739696130010998,0,0,0,0,0.10903896391391754,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),71,7300113,metaworld,True,59,0.19505211300202063,1,1,1,30,0.20807316899299622,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),72,7300114,metaworld,True,57,0.27942831000109436,0,0,0,0,0.17335644364356995,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),73,7300115,metaworld,True,52,0.2528859980011475,0,0,0,0,0.14396557211875916,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),74,7300116,metaworld,True,56,0.1559260419999191,1,1,1,38,0.2004145383834839,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),75,7300117,metaworld,True,54,0.12970590300028562,1,1,1,44,0.28175023198127747,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),76,7300118,metaworld,True,53,0.11556509300135076,1,1,1,45,0.4173595905303955,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),77,7300119,metaworld,True,50,0.13256611199904,1,1,1,34,0.341746062040329,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),78,7300120,metaworld,True,61,0.18987293499958469,1,1,1,32,0.257590115070343,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),79,7300121,metaworld,True,60,0.144526317002601,1,1,1,48,0.30288559198379517,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),80,7300122,metaworld,True,48,0.23338997199971345,0,0,0,0,0.18415918946266174,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),81,7300123,metaworld,True,48,0.10615638899980695,1,1,1,40,0.30637291073799133,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),82,7300124,metaworld,True,51,0.12241083300250466,1,1,1,40,0.325195848941803,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),83,7300125,metaworld,False,200,0.5348102019997896,1,0,1,141,0.9957481026649475,task_success_while_recovery_active_per_intervention,False,True,timeout,custom,0.2,False
REIM (ACT + Detector + Recovery),84,7300126,metaworld,True,58,0.19321379299799446,1,1,1,29,0.2489285171031952,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),85,7300127,metaworld,False,200,0.5065824759985844,1,0,1,150,0.9992326498031616,task_success_while_recovery_active_per_intervention,False,True,timeout,custom,0.2,False
REIM (ACT + Detector + Recovery),86,7300128,metaworld,True,53,0.1633190709981136,1,1,1,32,0.24498029053211212,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),87,7300129,metaworld,True,47,0.1215160179999657,1,1,1,36,0.2764934301376343,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),88,7300130,metaworld,True,47,0.11491760799981421,1,1,1,37,0.37552815675735474,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),89,7300131,metaworld,False,200,0.5118043900001794,1,0,1,143,0.986868679523468,task_success_while_recovery_active_per_intervention,False,True,object_dropped,custom,0.2,False
REIM (ACT + Detector + Recovery),90,7300132,metaworld,True,49,0.1306677629982005,1,1,1,34,0.3340267837047577,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),91,7300133,metaworld,True,49,0.13638534900019295,1,1,1,33,0.2559857964515686,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),92,7300134,metaworld,True,51,0.14413689299908583,1,1,1,34,0.36080265045166016,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),93,7300135,metaworld,True,59,0.14724305900017498,1,1,1,46,0.22851400077342987,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
